transcription,transcription_whisper_base_en
A CRUISE IN WARM WATERS IN A SLEEK YACHT IS FUN, A cruise in warm waters and a sleek yacht is fun.
A STREAK OF COLOR RAN DOWN THE LEFT EDGE, A streak of color ran down the left edge.
IT WAS DONE BEFORE THE BOY COULD SEE IT, It was done before the boy could see it.
CROUCH BEFORE YOU JUMP OR MISS THE MARK, Crouch before you jump or miss the mark.
PACK THE KITS AND DON'T FORGET THE SALT, Pack the kits and don't forget the salt.
THE SQUARE PEG WILL SETTLE IN THE ROUND HOLE, The square peg will settle in the round hole.
FINE SOAP SAVES TENDER SKIN, Fine soap saves tender skin.
POACHED EGGS AND TEA MUST SUFFICE, poach digs and team must suffice
BAD NERVES ARE JANGLED BY A DOOR SLAM, Bad nerves are jangled by a door slam.
SHIP MAPS ARE DIFFERENT FROM THOSE FOR PLANES, Ship maps are different from those four planes.
DIMES SHOWERED DOWN FROM ALL SIDES, Dimes shower down from all sides.
THEY SANG THE SAME TUNES AT EACH PARTY, They sing the same tunes at each party.
THE SKY AND THE WEST IS TINGED WITH ORANGE RED, The sky in the west is tinged with orange red.
THE PODS OF PEACE FERMENT IN BARE FIELDS, The pods of peas for mint and bare fields.
THE HORSE BALKED AND THREW THE TALL RIDER, The horse balked and threw the tall rider.
THE HITCH BETWEEN THE HORSE AND CART BROKE, The hitch between the horse and cart broke.
PILE THE COAL HIGH IN THE SHED CORNER, pile the coal high in the shed corner
A GOLD VASE IS BOTH RARE AND COSTLY, A gold vase is both rare and costly.
THE KNIFE WAS HUNG INSIDE ITS BRIGHT SHEATH, The knife was hung inside its bright sheath.
THE RAREST SPICE COMES FROM THE FAR EAST, The rarest spice comes from the Far East.
THE ROOF SHOULD BE TILTED AT A SHARP SLANT, The roof should be tilted at a sharp slant.
A SMATTER OF FRENCH IS WORSE THAN NONE, A smatter of French is worse than none.
THE MULE TROD THE TREADMILL DAY AND NIGHT, The mule trod the treadmill day and night.
THE AIM OF THE CONTEST IS TO RAISE A GREAT FUND, The aim of the contest is to raise a great fund.
TO SEND IT NOW IN LARGE AMOUNTS IS BAD, To send it now in large amounts is bad.
THERE IS A FINE HARD TANG IN SALTY AIR, There is a fine hard tang and salty air.
COD IS THE MAIN BUSINESS OF THE NORTH SHORE, COD is the main business of the North Shore.
THE SLAB WAS HEWN FROM HEAVY BLOCKS OF SLATE, The slab was hewn from heavy blocks of slate.
DUNK THE STALE BISCUITS INTO STRONG DRINK, Dunk the stale biscuits into strong drink
HANG TINSEL FROM BOTH BRANCHES, hang tensile from both branches
CAMP THE JAR WITH A TIGHT BRASS COVER, Cap the jar with a tight brass cover
THE POOR BOY MISSED THE BOAT AGAIN, The poor boy missed the boat again.
BE SURE TO SET THAT LAMP FIRMLY IN THE HOLE, Be sure to set that lamp firmly in the hole.
PICK A CARD AND SLIP IT UNDER THE PACK, Pick a card and slip it under the pack.
A ROUND MAT WILL COVER THE DULL SPOT, Around mat will cover the dull spot.
THE FIRST PART OF THE PLAN NEEDS CHANGING, The first part of the plan needs changing.
A GOOD BOOK IN FORMS OF WHAT WE OUGHT TO KNOW, A good book informs of what we ought to know.
THE MAIL COMES IN THREE BATCHES PER DAY, The mail comes in 3 batches per day.
YOU CANNOT BREW TEA IN A COLD POT, You cannot brooty in a cold pot.
DOTS OF LIGHT BETRAYED THE BLACK CAT, dots of light betrayed the black cat
PUT THE CHART ON THE MANTEL AND TACK IT DOWN, Put the chart on the mantle and tack it down
THE NIGHT SHIFT MEN RATE EXTRA PAY, The night shift men rate extra pay.
THE RED PAPER BRIGHTENED THE DIM STAGE, The red paper brightened the dim stage.
SEE THE PLAYER SCOOT TO THIRD BASE, See the player's scoot to third base
SLIDE THE BILL BETWEEN THE TWO LEAVES, Slide the bill between the two leaves.
MANY HANDS HELP GET THE JOB DONE, Many hands help get the job done.
WE DON'T LIKE TO ADMIT OUR SMALL FAULTS, We don't like to admit our small faults.
NO DOUBT ABOUT THE WAY THE WIND BLOWS, No doubt about the way the wind blows.
DIG DEEP IN THE EARTH FOR PIRATE'S GOLD, Dig deep in the Earth for pirates gold.
THE STEADY DRIP IS WORSE THAN A DRENCHING RAIN, The steady drip is worse than a drenching rain.
A FLAT PACK TAKES LESS LUGGAGE SPACE, A flat pack takes less luggage space.
GREEN ICE FROSTED THE PUNCH BOWL, Green ice frosted the punch bowl
A STUFF CHAIR SLIPPED FROM THE MOVING VAN, A stuffed chair slipped from the moving van.
THE STITCH WILL SERVE BUT NEEDS TO BE SHORTENED, The stitch will serve but needs to be shortened.
A THIN BOOK FITS IN THE SIDE POCKET, A thin book fits in a side pocket.
THE GLOSS ON TOP MADE IT UNFIT TO READ, The gloss on top made it and fit to read.
THE HAIL PATTERED ON THE BURNT BROWN GRASS, The hail pattered on the burnt brown grass.
SEVEN SEALS WERE STAMPED ON GREAT SHEETS, Seven seals were stamped on great sheets.
OUR TROOPS ARE SET TO STRIKE HEAVY BLOWS, Our troops are set to strike heavy blows.
THE STORE WAS JAMMED BEFORE THE SALE COULD START, The store was jammed before the cell could start.
IT WAS A BAD ERROR ON THE PART OF THE NEW JUDGE, It was a bad error on the part of the new judge.
ONE STEP MORE IN THE BOARD WILL COLLAPSE, One step more and the board will collapse.
TAKE THE MATCH AND STRIKE IT AGAINST YOUR SHOE, Take the match and strike it against your shoe.
THE POT BOILED BUT THE CONTENTS FAILED TO JELL, The pot boiled but the contents failed to gel.
THE BABY PUTS HIS RIGHT FOOT IN HIS MOUTH, The baby puts his right foot in his mouth.
THE BOMBS LEFT MOST OF THE TOWN IN RUINS, The bombs left most of the town in ruins.
STOP AND STARE AT THE HARD WORKING MAN, Stop and stare at the hard-working man.
THE STREETS ARE NARROW AND FULL OF SHARP TURNS, The streets are narrow and full of sharp turns.
THE PUP JERKED THE LEASH AS HE SAW A FELINE SHAPE, The pup jerk the leash as he saw a feel on shape.
OPEN YOUR BOOK TO THE FIRST PAGE, Open your book to the first page.
FISH EVADE THE NET AND SWIM OFF, fish evade the nut and swim off
DIP THE PAIL ONCE AND LET IT SETTLE, Dip the pale once and let it settle.
WILL YOU PLEASE ANSWER THAT PHONE, Will you please answer that phone?
THE BIG RED APPLE FELL TO THE GROUND, The big red apple fell to the ground.
THE CURTAIN ROSE AND THE SHOW WAS ON, The curtain rose and the show was on.
THE YOUNG PRINCE BECAME HEIR TO THE THRONE, The young prince became heir to the throne.
HE SENT THE BOY ON A SHORT ERRAND, He sent the boy on a short errand.
LEAVE NOW AND YOU WILL ARRIVE ON TIME, Leave now and you will arrive on time.
THE CORNER STORE WAS ROBBED LAST NIGHT, The corner store was robbed last night.
A GOLD RING WILL PLEASE MOST ANY GIRL, A gold ring will please most any girl.
THE LONG JOURNEY HOME TOOK A YEAR, The long journey home took a year.
SHE SAW A CAT IN THE NEIGHBOR'S HOUSE, She saw a cat in the neighbor's house.
A PINK SHELL WAS FOUND ON THE SANDY BEACH, A pink shell was found on the sandy beach.
SMALL CHILDREN CAME TO SEE HIM, Small children came to see him.
THE GRASS AND BUSHES WERE WET WITH DEW, The grass and bushes were wet with dew.
THE BLIND MAN COUNTED HIS OLD COINS, The blind man counted his old coins.
A SEVERE STORM TORED DOWN THE BARN, A severe storm tore down the barn.
SHE CALLED HIS NAME MANY TIMES, She called his name many times.
WHEN YOU HEAR THE BELL COME QUICKLY, When you hear the bell come quickly.
THE BIRCH CANOE SLID ON THE SMOOTH PLANKS, The birch can use lid on the smooth planks.
GLUE THE SHEET TO THE DARK BLUE BACKGROUND, Put the sheet to the dark blue background.
IT'S EASY TO TELL THE DEPTH OF A WELL, It's easy to tell the depth of a well.
THESE DAYS A CHICKEN LEG IS A RARE DISH, These days the chicken leg is a rarer dish.
RICE IS OFTEN SERVED IN ROUND BOWLS, Rice is often served in round bowls.
THE JUICE OF LEMONS MAKES FINE PUNCH, The juice of lemons makes fine punch.
THE BOX WAS THROWN BESIDE THE PARKED TRUCK, The box was thrown beside the park truck.
THE HOGS WERE FED CHOPPED CORN AND GARBAGE, The Hogs were fed chopped corn and garbage.
FOUR HOURS OF STEADY WORK FACED US, Four hours of steady work phased us.
A LARGE SIZE AND STOCKINGS IS HARD TO SELL, A large size in stockings is hard to sell.
THE BOY WAS THERE WHEN THE SUN ROSE, The boy was there when the sun rose.
A ROD IS USED TO CATCH PINK SALMON, A rod is used to catch pink salmon.
THE SOURCE OF THE HUGE RIVER IS THE CLEAR SPRING, The source of the huge river is the clear spring.
KICK THE BALL STRAIGHT AND FOLLOW THROUGH, Kick the ball straight and follow through.
HELP THE WOMAN GET BACK TO HER FEET, Help the woman get back to her feet.
A POT OF TEA HELPS TO PASS THE EVENING, A part of T helps to pass the evening.
SMOKY FIRES LACK FLAME AND HEAT, Smokey fires lack flame and heat.
THE SOFT CUSHION BROKE THE MAN'S FALL, The soft cushion broke the man's fall.
THE SALT BREEZE CAME ACROSS FROM THE SEA, The salt breeze came across from the sea.
THE GIRL AT THE BOOTH SOLD FIFTY BONDS, The girl at the booth sold 50 pons.
THE SMALL PUP GNAWED A HOLE IN THE SACK, the small pup nod a hole in the sock
THE FISH TWISTED AND TURNED ON THE BENT HOOK, The fish twisted and turned on the bent hook.
PRESS THE PANTS AND SEW BUTTON ON THE VEST, Press the Pans and Sew a Button on the Vest
THE SWAN DIVE WAS FAR SHORT OF PERFECT, The swan dive was far short of perfect.
THE BEAUTY OF THE VIEW STUNED THE YOUNG BOY, The beauty of the view stunned a young boy.
TWO BLUE FISH SWAM IN THE TANK, Two bluefish swam in the tank.
HER PURSE WAS FULL OF USELESS TRASH, Her purse was full of useless trash.
THE COLT REARED AND THREW THE TALL RIDER, The cold reared and through the tall rider.
IT SNOWED, It's node.
RAINED, Ramed
AND HAILED THE SAME MORNING, And held the same morning.
READ VERSE OUT LOUD FOR PLEASURE, Reverse Out Loud for Pleasure
HOIST THE LOAD TO YOUR LEFT SHOULDER, Place the load to your left shoulder
TAKE THE WINDING PATH TO REACH THE LAKE, Take the winding path to reach the lake.
NOTE CLOSELY THE SIZE OF THE GAS TANK, No closely the size of the gas tank.
WIPE THE GREASE OFF HIS DIRTY FACE, wipe the grease off his dirty face
MEND THE COAT BEFORE YOU GO OUT, Then the code before you go out.
THE WRIST WAS BADLY STRAINED AND HUNG LIMP, The wrist was badly strained and hung limp.
THE STRAY CAT GAVE BIRTH TO KITTENS, The stray cat gave birth to kittens.
THE YOUNG GIRL GAVE NO CLEAR RESPONSE, The young girl gave no clear response.
THE MEAL WAS COOKED BEFORE THE BELL RANG, The meal was cooked before the bell rang.
WHAT JOY THERE IS IN LIVING, What joy there is in living.
A KING RULED THE STATE IN THE EARLY DAYS, A king ruled the state in the early days.
THE SHIP WAS TORN APART ON THE SHARP REEF, The ship was torn apart on the sharp reef.
SICKNESS KEPT HIM HOME THE THIRD WEEK, Sickness kept him home the third week.
THE WIDE ROAD SHIMMERED IN THE HOT SUN, The wide-rode shimmered in the hot sun.
THE LAZY COW LAY IN THE COOL GRASS, The lazy callee in the cool grass.
LIFT THE SQUARE STONE OVER THE FENCE, Lift the square stone over the fence.
THE ROPE WILL BIND THE SEVEN BOOKS AT ONCE, The rope will bind the 7 books at once.
HOP OVER THE FENCE AND PLUNGE IN, Hop over the fence and plunge in.
THE FRIENDLY GANG LEFT THE DRUG STORE, The friendly gang left the drugstore.
MESH WIRE KEEPS CHICKS INSIDE, Mesh wire keeps chicks inside
THE FROSTY AIR PASSED THROUGH THE COAT, The frosty air passed through the coat.
THE CROOKED MAZE FAILED TO FOOL THE MOUSE, The crooked mes field to fool the mouse.
ADDING FAST LEADS TO WRONG SUMS, Adding fast leads to wrong sums.
THE SHOW WAS A FLOP FROM THE VERY START, This show was a flop from the very start.
A SAW AS A TOOL USED FOR MAKING BOARDS, A saw is a tool used for making boards.
THE WAGON MOVED ON WELL OILED WHEELS, The wagon moved on well-oiled wheels.
MARCH THE SOLDIERS PAST THE NEXT HILL, March the soldiers past the next hill.
A CUP OF SUGAR MAKES SWEET FUDGE, A cup of sugar makes sweet fudge.
PLACE A ROSEBUSH NEAR THE PORCH STEPS, Place the rose push near the porch steps.
BOTH LOST THEIR LIVES IN THE RAGING STORM, Both lost their lives in the raging storm.
WE TALKED OF THE SIDE SHOW IN THE CIRCUS, We talk to this side show in the circus
USE A PENCIL TO WRITE THE FIRST DRAFT, Use a pencil to write the first draft
HE RAN HALFWAY TO THE HARDWARE STORE, He ran halfway to the hardware store.
THE CLOCK STRUCK TO MARK THE THIRD PERIOD, The clock struck to mark the third period.
A SMALL CREEK CUT ACROSS THE FIELD, A small creek cut across the field.
CARS AND BUSSES STALLED IN SNOW DRIFTS, Cars and buses stalled in snow drifts.
THE SET OF CHINA HIT THE FLOOR WITH A CRASH, The set of China hit the floor with a crash.
THIS IS A GRAND SEASON FOR HYKES ON THE ROAD, This is a grand season for hikes on the road.
THE DUNE ROSE FROM THE EDGE OF THE WATER, The dew rose from the edge of the water.
THOSE WORDS WERE THE CUE FOR THE ACTOR TO LEAVE, Those words were the cue for the actor to leave.
A YACHT SLID AROUND THE POINT INTO THE BAY, I yachts flayed around the point into the bay.
THE TWO MET WHILE PLAYING ON THE SAND, The two met while playing on the sand.
THE INK STAIN DRIED ON THE FINISHED PAGE, The ink stain dried on the finished page.
THE WALLED TOWN WAS SEIZED WITHOUT A FIGHT, The wild town was seized without a fight.
THE LEASE RAN OUT IN SIXTEEN WEEKS, The lease ran out in 16 weeks.
A TAME SQUIRREL MAKES A NICE PET, A tame squirrel makes a nice bet.
THE HORN OF THE CAR WOKE THE SLEEPING COP, The horn at the car woke the sleeping cop.
THE HEART BEATS STRONGLY AND WITH FIRM STROKES, The heart beat strongly and with firm strokes.
THE PEARL WAS WORN IN A THIN SILVER RING, The pro was worn in a thin silver ring.
THE FRUIT PEEL WAS CUT IN THICK SLICES, The fruit peel was cut in thick slices.
THE NAVY ATTACKED THE BIG TASK FORCE, The Navy attacked the big task force.
SEE THE CAT GLARING AT THE SCARED MOUSE, See the cat glaring at the scared mouse
THERE ARE MORE THAN TWO FACTORS HERE, There are more than 2 factors here.
THE HAT BRIM WAS WIDE AND TOO DROOPY, The hat brim was wide and too droopy.
THE LAWYER TRIED TO LOSE HIS CASE, The lawyer tried to lose his case.
THE GRASS CURLED AROUND THE FENCE POST, The grass curled around the fence post.
CUT THE PIE INTO LARGE PARTS, Cut the pie into large parts
MEN STRIVE BUT SELDOM GET RICH, Men's drive but seldom get rich.
ALWAYS CLOSE THE BARN DOOR TIGHT, Always close the barn door tight.
HE LAY PRONE AND HARDLY MOVED A LIMB, He lay prone and hardly moved to limb.
THE SLUSH LAY DEEP ALONG THE STREET, This wash lay deep along the street.
A WISP OF CLOUD HUNG IN THE BLUE AIR, A wisp of cloud hong in the blue air.
A POUND OF SUGAR COSTS MORE THAN EGGS, A pound of sugar costs more than eggs.
THE FIN WAS SHARP AND CUT THE CLEAR WATER, The fin was sharp and cut the clear water.
THE PLAY SEEMS DULL AND QUITE STUPID, The play seems dull and quite stupid.
BAIL THE BOAT TO STOP IT FROM SINKING, Fail the boat to stop it from sinking
THE TERM ENDED IN LATE JUNE THAT YEAR, The term ended in late June that year.
A TUSK USED TO MAKE COSTLY GIFTS, A task is used to make costly gifts.
TEN PINS WERE SET IN ORDER, 10 pins were set in order
THE BILL WAS PAID EVERY THIRD WEEK, The bill was paid every third week.
OAK IS STRONG AND ALSO GIVES SHADE, Focus strong and also gives shade.
CATS AND DOGS EACH HATE THE OTHER, Cats and dogs each hate the other.
THE PIPE BEGAN TO RUST WHILE NEW, The pipe began to rust while new.
OPEN THE CRATE BUT DON'T BREAK THE GLASS, Open the craze but don't break the class
ADD THE SUM TO THE PRODUCT OF THESE THREE, Add the sum to the product of these 3
THIEVES WHO ROB FRIENDS DESERVE JAIL," Thieves, Rod, Friends, Deserve Jail"
THE RIPE TASTE OF CHEESE IMPROVES WITH AGE, The ripe taste of cheese improves with age.
ACT ON THESE ORDERS WITH GREAT SPEED, Act on these orders with great speed.
THE HOG CRAWLED UNDER THE HIGH FENCE, The hunt crawled under the high fence.
MOVE THE VAT OVER THE HOT FIRE, Move the vat over the hot fire.
THE BARK OF THE PINE TREE WAS SHINY AND DARK, The bark of the pine tree was shiny and dark.
LEAVES TURN BROWN AND YELLOW IN THE FALL, Leaves turn brown and yellow in the fall.
THE PENNANT WAVED WHEN THE WIND BLEW, The pennant waved when the wind blew.
SPLIT THE LOG WITH A QUICK, Split the log with a quick.
SHARP BLOW, Sharp Blow
BURN PEAT AFTER THE LOGS GIVE OUT, Burn heat after the logs give out.
HE ORDERED PEACH PIE WITH ICE CREAM, He ordered peach pie with ice cream.
WEAVE THE CARPET ON THE RIGHT HAND SIDE, Weave the carpet on the right hand side
HEMP IS A WEED FOUND IN PARTS OF THE TROPICS, HAMP is a wheat found in parts of the tropics.
A LAME BACK KEPT HIS SCORE LOW, A lame back kept his score low.
WE FIND JOY IN THE SIMPLEST THINGS, We find joy in the simplest things.
TYPE OUT THREE LISTS OF ORDERS, Type out 3 lists of orders
THE HARDER HE TRIED THE LESS HE GOT DONE, The harder he tried the less he got done.
THE BOSS RAN THE SHOW WITH A WATCHFUL EYE, The boss ran the show with a watchful eye.
THE CUP CRACKED AND SPILLED ITS CONTENTS, The cup cracked and spilled its contents.
PASTE CAN CLEANSE THE MOST DIRTY BRASS, Paste can cleanse the most dirty brass.
THE SLANG WORD FOR RAW WHISKY IS BOOZE, This slang word for raw whiskey is booze.
IT CAUGHT ITS HIND PAW IN A RUSTY TRAP, It cut its hind pawn a rusty trap
THE WHARF COULD BE SEEN AT THE FARTHER SHORE, The wharf could be seen at the farther shore.
FEEL THE HEAT OF THE WEAK DYING FLAME, Feel the heat of the weak dying flame.
THE TINY GIRL TOOK OFF HER HAT, The tiny girl took off her hat.
A CRAMP IS NO SMALL DANGER ON A SWIN, A cramp is no small danger on a swim.
HE SAID THE SAME PHRASE THIRTY TIMES, He said this same phrase 30 times.
PLUCK THE BRIGHT ROSE WITHOUT LEAVES, Plug the bright rose without leaves.
TWO PLUS SEVEN IS LESS THAN TEN, 2 plus 7 is less than 10
THE GLOW DEEPENED IN THE EYES OF THE SWEET GIRL, The glow deepened in the eyes of the sweet girl.
BRING YOUR PROBLEMS TO THE WISE CHIEF, Bring your problems to the wise chief.
WRITE A FOND NOTE OF THE FRIEND YOU CHERISH, Write a fond note to the friend you cherish.
CLOTHES AND LODGING ARE FREE TO NEW MEN, Close and lodging are free to new men.
WE FROWN WHEN EVENTS TAKE A BAD TURN, We frown when events take a bad turn.
PORT IS A STRONG WINE WITH A SMOKY TASTE, Port is a strong wine with a smoky taste.
THE YOUNG KID JUMPED THE RUSTY GATE, The young kid jumped the rusty gate.
GUESS THE RESULT FROM THE FIRST SCORES, Guess the result from the first scores
A SALT PICKLE TASTES FINE WITH HAM, Assault pickle tastes fine with ham.
THE JUST CLAIM GOT THE RIGHT VERDICT, The Just Claim Got The Right Verdict
THOSE THISTLES BEND IN A HIGH WIND, Those thistles bend in a high wind.
PURE BRED POODLES HAVE CURLS, Purebred poodles have curls.
THE TREE TOP WAVED IN A GRACEFUL WAY, The tree top waved in a graceful way.
THE SPOT ON THE BLOTTER WAS MADE BY GREEN INK, The spot on the plotter was made by Green Ink.
MUD WAS SPATTERED ON THE FRONT OF HIS WHITE SHIRT, Mud was spattered on the front of his white shirt.
THE CIGAR BURNED A HOLE IN THE DESK TOP, The cigar burned a hole in the desktop.
THE EMPTY FLASK STOOD ON THE TIN TRAY, The empty flask stood on the tin tray.
A SPEEDY MAN CAN BEAT THIS TRACK MARK, A speedy man can beat this track mark.
HE BROKE A NEW SHOELACE THAT DAY, He broke a new shoelace that day.
THE COFFEE STAND IS TOO HIGH FOR THE COUCH, The coffee stand is too high for the couch.
THE URGE TO WRITE SHORT STORIES IS RARE, The urge to write short stories is rare.
THE PENCILS HAVE ALL BEEN USED, The pencils have all been used.
THE PIRATES SEIZED THE CREW OF THE LOST SHIP, The pirate sees the crew at the lost ship.
WE TRIED TO REPLACE THE COIN BUT FAILED, We tried to replace the coin but failed.
SHE SEWED THE TORN COAT QUITE NEATLY, She sewed the torn coat quite neatly.
THE SOFA CUSHION IS RED AND OF LIGHT WEIGHT, The sofa cushion is ranting of light weight.
THE JACKET HUNG ON THE BACK OF THE WIDE CHAIR, The jacket hung on the back of the wide chair.
AT THAT HIGH LEVEL THE AIR IS PURE, At that high level the air is pure.
DROP THE TWO WHEN YOU ADD THE FIGURES, Drop the two when you add the figures
A FILING CASE IS NOW HARD TO BUY, A filing case is now hard to buy.
AN ABRUPT START DOES NOT WIN THE PRIZE, And abrupt start does not win the prize.
WHIT IS BEST FOR MAKING TOYS AND BLOCKS, with his best for making toys and blocks.
THE OFFICE PAINT WAS DULL, The office paint was a doll.
SAID DAN, Sogdam
HE KNEW THE SKILL OF A GREAT YOUNG ACTRESS, He knew the skill of the great young actress.
A RAG WILL SOAK UP SPILLED WATER, A rag will soak up spilled water.
A SHOWER OF DIRT FELL FROM THE HOT PIPES, A shower of dirt fell from the hot pipes.
STEAM HIST FROM THE BROKEN VALVE, steam hissed from the broken valve
THE CHILD ALMOST HURT THE SMALL DOG, The child almost hurt the small dog.
THERE WAS A SOUND OF DRY LEAVES OUTSIDE, There was a sound of dry leaves outside.
THE SKY THAT MORNING WAS CLEAR AND BRIGHT BLUE, The sky that morning was clear and bright blue.
TORN SCRAPS LITTERED THE STONE FLOOR, Torrance scraps littered the stone floor.
SUNDAY IS THE BEST PART OF THE WEEK, Sunday is the best part of the week.
THE DOCTOR CURED HIM WITH THESE PILLS, The doctor cured him with these pills.
THE NEW GIRL WAS FIRED TODAY AT NOON, The new girl was fired today at noon.
THEY FELT GAY WHEN THE SHIP ARRIVED IN PORT, They felt gay when the ship arrived in port.
ADD THE STORE'S ACCOUNT TO THE LAST CENT, Add the store's account to the last cent.
ACID BURNS HOLES IN WOOL CLOTH, Acid burns holes in wool cloth.
FAIRY TALES SHOULD BE FUN TO WRITE, Fairy tale should be fun to write.
EIGHT MILES OF WOODLAND BURN TO WASTE, 8 miles of woodland burned to waste
THE THIRD ACT WAS DULL AND TIRED THE PLAYERS, The third act was dull and tired the players.
A YOUNG CHILD SHOULD NOT SUFFER FRIGHT, A young child should not suffer fright.
ADD THE COLUMN AND PUT THE SUM HERE, Add the column and put the sum here
WE ADMIRE AND LOVE A GOOD COOK, We admire and love a good cook.
THERE THE FLOOD MARK IS TEN INCHES, They're the floodmark is 10 inches.
HE CARVED A HEAD FROM THE ROUND BLOCK OF MARBLE, He carved a head from the round block of marble.
SHE HAS A SMART WAY OF WEARING CLOTHES, She has a smart way of wearing clothes.
THE FRUIT OF A FIG TREE IS APPLE SHAPED, The fruit of the fig tree is apple-shaped.
CORN COBS CAN BE USED TO KINDLE A FIRE, Quorum cops can be used to canvilla fire.
WHERE WERE THEY WHEN THE NOISE STARTED, Where were they when the noise started?
THE PAPER BOX IS FULL OF THUMB TACKS, The paper box is full of thumbtacks.
SELL YOUR GIFT TO A BUYER AT A GOOD GAIN, Sell your gift to a buyer at a good game.
THE TONGS LAY BESIDE THE ICE PAIL, The tongs lay beside the ice pale.
THE PETALS FALL WITH THE NEXT PUFF OF WIND, The petals fall with the next puff of wind.
BRING YOUR BEST COMPASS TO THE THIRD CLASS, Bring your best compass to the third class.
THEY COULD LAUGH ALTHOUGH THEY WERE SAD, They could laugh although they were sad.
FARMERS CAME IN TO THRESH THE OAT CROP, Farmers came in to thresh the oat crop.
THE BROWN HOUSE WAS ON FIRE TO THE ATTIC, The brown house was on fire to the attic.
THE LURE IS USED TO CATCH TROUT AND FLOUNDER, The lure is used to catch trout and flounder.
FLOAT THE SOAP ON TOP OF THE BATH WATER, Float the soap on top of the bath water.
A BLUE CRANE IS A TALL WADING BIRD, A blue crane is a tall waiting bird.
A FRESH START WILL WORK SUCH WONDERS, A fresh start will work such wonders.
THE CLUB RENTED THE RINK FOR THE FIFTH NIGHT, The club rented the rink for the fifth night.
AFTER THE DANCE, After the dance
THEY WENT STRAIGHT HOME, They went straight home.
THE HOST HAS TAUGHT THE NEW MAID TO SERVE, The host has taught the new maid to serve.
HE WROTE HIS LAST NOVEL THERE AT THE INN, He wrote his last novel there at the end.
EVEN THE WORST WILL BEAT HIS LOW SCORE, Even the worst will beat his low score.
THE CEMENT HAD DRIED WHEN HE MOVED IT, The cement had dried when he moved it.
THE LOSS OF THE SECOND SHIP WAS HARD TO TAKE, The loss of the second ship was hard to take.
THE FLY MADE ITS WAY ALONG THE WALL, The fly made its way along the wall.
DO THAT WITH A WOODEN STICK, Do that with a wooden stick.
LIVE WIRES SHOULD BE KEPT COVERED, Live wires should be kept covered.
THE LARGE HOUSE HAD HOT WATER TAPS, The large house had hot water caps.
IT IS HARD TO ERASE BLUE OR RED INK, It is hard to erase blue or red ink.
WRITE AT ONCE OR YOU MAY FORGET IT, Write it once or you may forget it
THE DOOR KNOB WAS MADE OF BRIGHT CLEAN BRASS, The doorknob was made of bright clean brass.
THE WRECK OCCURRED BY THE BANK ON MAIN STREET, The record heard by the bank on Main Street.
A PENCIL WITH BLACK LEAD WRITES BEST, A pencil with black lead writes best.
COAX IS A YOUNG CALF TO DRINK FROM A BUCKET, Coke's a young calf to drink from a bucket.
SCHOOLS FOR LADIES TEACH CHARM AND GRACE, Schools for ladies teach charm and grace.
THE LAMP SHONE WITH A STEADY GREEN FLAME, The lamp shown with a steady green flame.
THEY TOOK THE AXE AND THE SAW OF THE FOREST, They took the axe and the saw to the forest.
THE ANCIENT COIN WAS QUITE DULL AND WORN, The ancient coin was quite dull and worn.
THE SHAKY BARN FELL WITH A LOUD CRASH, The shaky barn fell with a loud crash.
JAZZ AND SWING FANS LIKE FAST MUSIC, Jazz and swing fans like fast music.
RAKE THE RUBBISH UP AND THEN BURN IT, Rake the rubbish up and then burn it
SLASH THE GOLD CLOTH INTO FINE RIBBONS, Slash the gold cloth into fine ribbons.
TRY TO HAVE THE COURT DECIDE THE CASE, Try to have the court decide the case.
THEY ARE PUSHED BACK EACH TIME THEY ATTACK, They are pushed back each time they attack.
HE BROKE HIS TIES WITH GROUPS OF FORMER FRIENDS, He broke his ties with groups of former friends.
THEY FLOATED ON THE RAFT TO SUN THEIR WHITE BACKS, They floated on the raft to sun their white backs.
THE MAP HAD AN X THAT MEANT NOTHING, The map had an X that meant nothing
WHITINGS ARE SMALL FISH CAUGHT IN NETS, Whitings are small fish caught in nets.
SOME ADS SERVE TO CHEAT BUYERS, Some ads serve to cheat buyers.
JERK THE ROPE IN THE BELL RINGS WEAKLY, Jerk the rope and the bell rings weekly.
A WAXED FLOOR MAKES US LOSE BALANCE, A waxed floor makes us lose balance.
MADAM, Madam
THIS IS THE BEST BRAND OF CORN, This is the best brand of corn.
ON THE ISLANDS THE SEA BREEZE IS SOFT AND MILD, On the islands the sea breeze is soft and mild.
THE PLAY BEGAN AS SOON AS WE SAT DOWN, The play began as soon as we sat down.
THIS WILL LEAD THE WORLD TO MORE SOUND AND FURY, This will lead the world to more sound and fury.
ADD SALT BEFORE YOU FRY THE EGG, Add salt before you fry the egg.
THE RUSH FOR FUNDS REACHED ITS PEAK TUESDAY, The rush for funds reached its peak Tuesday.
THE BIRCH LOOKED STARK WHITE AND LONESOME, The birch looked stark white and lonesome.
THE BOX IS HELD BY A BRIGHT RED SNAPPER, The box is held by a bright red snapper.
TO MAKE PURE ICE, to make pure ice
YOU FREEZE WATER, You freeze water.
THE FIRST WORM GETS SNAPPED EARLY, The first worm gets snapped early.
JUMP THE FENCE AND HURRY UP THE BANK, Jump the fence and hurry up the bank.
YELL AN CLAP AS THE CURTAIN SLIDES BACK, Yellen clap as the curtain slides back.
THEY ARE MEN WHO WALK THE MIDDLE OF THE ROAD, They are men who walk the middle of the road.
